alignment model score count replica lf domain
NWSn natural 4460 8 0 100 0
NWSn natural 4470 1 0 100 0
NWSn natural 4480 5 0 100 0
NWSn natural 4490 2 0 100 0
NWSn natural 4500 10 0 100 0
NWSn natural 4510 1 0 100 0
NWSn natural 4520 5 0 100 0
NWSn natural 4530 2 0 100 0
NWSn natural 4540 6 0 100 0
NWSn natural 4560 5 0 100 0
NWSn natural 4570 2 0 100 0
NWSn natural 4580 3 0 100 0
NWSn natural 4590 3 0 100 0
NWSn natural 4600 6 0 100 0
NWSn natural 4620 5 0 100 0
NWSn natural 4640 4 0 100 0
NWSn natural 4650 1 0 100 0
NWSn natural 4660 4 0 100 0
NWSn natural 4670 2 0 100 0
NWSn natural 4680 4 0 100 0
NWSn natural 4690 1 0 100 0
NWSn natural 4700 3 0 100 0
NWSn natural 4710 2 0 100 0
NWSn natural 4720 4 0 100 0
NWSn natural 4730 1 0 100 0
NWSn natural 4740 2 0 100 0
NWSn natural 4750 1 0 100 0
NWSn natural 4760 7 0 100 0
NWSn natural 4780 3 0 100 0
NWSn natural 4790 3 0 100 0
NWSn natural 4800 5 0 100 0
NWSn natural 4810 1 0 100 0
NWSn natural 4820 4 0 100 0
NWSn natural 4830 2 0 100 0
NWSn natural 4840 5 0 100 0
NWSn natural 4850 1 0 100 0
NWSn natural 4860 6 0 100 0
NWSn natural 4870 1 0 100 0
NWSn natural 4880 4 0 100 0
NWSn natural 4890 4 0 100 0
NWSn natural 4900 5 0 100 0
NWSn natural 4920 4 0 100 0
NWSn natural 4930 3 0 100 0
NWSn natural 4940 4 0 100 0
NWSn natural 4950 2 0 100 0
NWSn natural 4960 3 0 100 0
NWSn natural 4980 1 0 100 0
NWSn natural 4990 2 0 100 0
NWSn natural 5000 4 0 100 0
NWSn natural 5010 2 0 100 0
NWSn natural 5020 9 0 100 0
NWSn natural 5030 1 0 100 0
NWSn natural 5040 2 0 100 0
NWSn natural 5060 6 0 100 0
NWSn natural 5070 2 0 100 0
NWSn natural 5080 7 0 100 0
NWSn natural 5090 1 0 100 0
NWSn natural 5100 4 0 100 0
NWSn natural 5110 2 0 100 0
NWSn natural 5120 1 0 100 0
NWSn natural 5130 1 0 100 0
NWSn natural 5140 3 0 100 0
NWSn natural 5160 4 0 100 0
NWSn natural 5180 2 0 100 0
NWSn natural 5190 1 0 100 0
NWSn natural 5200 2 0 100 0
NWSn natural 5210 1 0 100 0
NWSn natural 5240 5 0 100 0
NWSn natural 5260 4 0 100 0
NWSn natural 5280 3 0 100 0
NWSn natural 5300 5 0 100 0
NWSn natural 5310 1 0 100 0
NWSn natural 5320 1 0 100 0
NWSn natural 5350 1 0 100 0
NWSn natural 5380 3 0 100 0
NWSn natural 5390 2 0 100 0
NWSn natural 5400 1 0 100 0
NWSn natural 5420 3 0 100 0
NWSn natural 5440 1 0 100 0
NWSn natural 5460 4 0 100 0
NWSn natural 5480 2 0 100 0
NWSn natural 5500 2 0 100 0
NWSn natural 5510 2 0 100 0
NWSn natural 5520 3 0 100 0
NWSn natural 5540 2 0 100 0
NWSn natural 5560 2 0 100 0
NWSn natural 5580 4 0 100 0
NWSn natural 5600 4 0 100 0
NWSn natural 5620 1 0 100 0
NWSn natural 5640 4 0 100 0
NWSn natural 5670 1 0 100 0
NWSn natural 5680 1 0 100 0
NWSn natural 5690 2 0 100 0
NWSn natural 5700 6 0 100 0
NWSn natural 5720 2 0 100 0
NWSn natural 5730 1 0 100 0
NWSn natural 5740 4 0 100 0
NWSn natural 5780 2 0 100 0
NWSn natural 5790 1 0 100 0
NWSn natural 5800 2 0 100 0
NWSn natural 5820 1 0 100 0
NWSn natural 5840 1 0 100 0
NWSn natural 5850 1 0 100 0
NWSn natural 5860 2 0 100 0
NWSn natural 5900 1 0 100 0
NWSn natural 5920 2 0 100 0
NWSn natural 5940 2 0 100 0
NWSn natural 5960 2 0 100 0
NWSn natural 5980 1 0 100 0
NWSn natural 6000 1 0 100 0
NWSn natural 6040 1 0 100 0
NWSn natural 6060 2 0 100 0
NWSn natural 6070 1 0 100 0
NWSn natural 6080 1 0 100 0
NWSn natural 6160 3 0 100 0
NWSn natural 6180 1 0 100 0
NWSn natural 6220 1 0 100 0
NWSn natural 6260 1 0 100 0
NWSn natural 6300 3 0 100 0
NWSn natural 6360 1 0 100 0
NWSn natural 6370 1 0 100 0
NWSn natural 6380 1 0 100 0
NWSn natural 6400 3 0 100 0
NWSn natural 6460 2 0 100 0
NWSn natural 6480 2 0 100 0
NWSn natural 6500 1 0 100 0
NWSn natural 6600 1 0 100 0
NWSn natural 6620 1 0 100 0
NWSn natural 6640 1 0 100 0
NWSn natural 6700 1 0 100 0
NWSn natural 6800 1 0 100 0
NWSn natural 6820 1 0 100 0
NWSn natural 6880 1 0 100 0
NWSn natural 6980 1 0 100 0
NWSn natural 7000 2 0 100 0
NWSn natural 7020 2 0 100 0
NWSn natural 7040 1 0 100 0
NWSn natural 7060 1 0 100 0
NWSn natural 7140 1 0 100 0
NWSn natural 7160 2 0 100 0
NWSn natural 7180 1 0 100 0
NWSn natural 7200 1 0 100 0
NWSn natural 7260 1 0 100 0
NWSn natural 7320 1 0 100 0
NWSn natural 7420 1 0 100 0
NWSn natural 7600 1 0 100 0
NWSn natural 7780 1 0 100 0
NWSn natural 7820 1 0 100 0
NWSn natural 7900 1 0 100 0
NWSn natural 8200 1 0 100 0
NWSn natural 8500 1 0 100 0
NWSn natural 8580 1 0 100 0
NWSn natural 8700 1 0 100 0
NWSn G_model 100 3 0 100 0
NWSn G_model 110 1 0 100 0
NWSn G_model 130 2 0 100 0
NWSn G_model 140 1 0 100 0
NWSn G_model 150 3 0 100 0
NWSn G_model 160 3 0 100 0
NWSn G_model 170 7 0 100 0
NWSn G_model 180 12 0 100 0
NWSn G_model 190 23 0 100 0
